clip,clip_filename,clip_relpath,file_url,http_rel_link,down,to_go,yards,side,rp,dir,phase,notes,exclude
39,clip_039.mp4,clips/clip_039.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 039.mp4,./clips/clip_039.mp4,3,1,0,defense,run,right,unknown,tailback b gap,
40,clip_040.mp4,clips/clip_040.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 040.mp4,./clips/clip_040.mp4,4,1,15,defense,run,left,unknown,fullback a gap,
41,clip_041.mp4,clips/clip_041.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 041.mp4,./clips/clip_041.mp4,,,0,defense,run,left,unknown,no good,
42,clip_042.mp4,clips/clip_042.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 042.mp4,./clips/clip_042.mp4,,,0,offense,pass,unknown,unknown,,
43,clip_043.mp4,clips/clip_043.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 043.mp4,./clips/clip_043.mp4,1,10,0,offense,pass,left,unknown,"inside left receiver 5 yard out, incomplete",
44,clip_044.mp4,clips/clip_044.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 044.mp4,./clips/clip_044.mp4,2,10,0,offense,run,left,unknown,"splitback counter, faking b gap tailback",
45,clip_045.mp4,clips/clip_045.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 045.mp4,./clips/clip_045.mp4,3,10,0,offense,pass,left,unknown,"outside left receiver go route, incomplete",
46,clip_046.mp4,clips/clip_046.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 046.mp4,./clips/clip_046.mp4,4,10,0,offense,pass,left,unknown,"outside left receiver go route, incomplete",
47,clip_047.mp4,clips/clip_047.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 047.mp4,./clips/clip_047.mp4,1,10,1,defense,run,right,unknown,fullback a gap,
48,clip_048.mp4,clips/clip_048.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 048.mp4,./clips/clip_048.mp4,2,10,15,defense,pass,left,unknown,"tailback flare left, complete",
49,clip_049.mp4,clips/clip_049.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 049.mp4,./clips/clip_049.mp4,1,10,23,defense,run,right,unknown,tailback b gap,
50,clip_050.mp4,clips/clip_050.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 050.mp4,./clips/clip_050.mp4,1,10,2,defense,run,right,unknown,"fullback a gap, touchdown",
51,clip_051.mp4,clips/clip_051.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 051.mp4,./clips/clip_051.mp4,,,0,defense,pass,left,unknown,good,
52,clip_052.mp4,clips/clip_052.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 052.mp4,./clips/clip_052.mp4,,,0,offense,pass,right,unknown,,
53,clip_053.mp4,clips/clip_053.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 053.mp4,./clips/clip_053.mp4,1,10,2,offense,pass,left,unknown,tailback b gap,n
54,clip_054.mp4,clips/clip_054.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 054.mp4,./clips/clip_054.mp4,2,10,0,offense,pass,left,unknown,"inside left receiver 5 yard out, incomplete",
55,clip_055.mp4,clips/clip_055.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 055.mp4,./clips/clip_055.mp4,3,10,0,offense,run,left,unknown,tailback b gap,
56,clip_056.mp4,clips/clip_056.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 056.mp4,./clips/clip_056.mp4,4,10,0,offense,pass,right,unknown,"quick screen right, incomplete",
57,clip_057.mp4,clips/clip_057.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 057.mp4,./clips/clip_057.mp4,1,10,10,defense,run,left,unknown,tailback b gap,
58,clip_058.mp4,clips/clip_058.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 058.mp4,./clips/clip_058.mp4,1,10,22,defense,run,right,unknown,"tailback b gap, touchdown",
59,clip_059.mp4,clips/clip_059.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 059.mp4,./clips/clip_059.mp4,,,0,defense,run,right,unknown,"inside left receiver jet sweep, no good",
60,clip_060.mp4,clips/clip_060.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 060.mp4,./clips/clip_060.mp4,,,0,defense,run,left,unknown,,
61,clip_061.mp4,clips/clip_061.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 061.mp4,./clips/clip_061.mp4,1,10,0,offense,pass,right,unknown,tailback b gap,n
62,clip_062.mp4,clips/clip_062.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 062.mp4,./clips/clip_062.mp4,2,15,0,offense,pass,right,unknown,"inside right receiver 5 yard out, incomplete",
63,clip_063.mp4,clips/clip_063.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 063.mp4,./clips/clip_063.mp4,3,15,0,offense,run,right,unknown,tailback b gap,
64,clip_064.mp4,clips/clip_064.mp4,file:///home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 064.mp4,./clips/clip_064.mp4,4,15,0,offense,pass,right,unknown,"outside right receiver quick screen, incomplete",
