index,clip,side_auto,rp_auto,dir_auto,st_auto,down,distance,gained_yards,phase,auto_outcome,notes_auto,side_fix,rp_fix,dir_fix,st_fix,down_fix,distance_fix,gained_yards_fix,exclude,notes_fix
47,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 047.mp4,defense,pass,left,,,,0,unknown,positive,,,run,right,,first,ten,one,,fullback a gap
48,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 048.mp4,defense,pass,left,,,,0,unknown,neutral,,,,,,second,ten,fifteen,,"tailback flare left, complete"
49,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 049.mp4,defense,pass,right,,,,0,unknown,positive,,,run,right,,first,ten,twenty-three,,tailback b gap
50,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 050.mp4,offense,pass,unknown,,,,0,unknown,positive,,defense,run,right,,first,goal,two,,"fullback a gap, touchdown"
51,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 051.mp4,offense,pass,left,,,,0,unknown,positive,,defense,,,xp,,,,,good
52,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 052.mp4,offense,pass,right,,,,0,unknown,positive,,,,,return,,,,,
53,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 053.mp4,offense,run,right,,,,0,unknown,positive,,,pass,left,,first,ten,two,n,tailback b gap
54,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 054.mp4,offense,run,left,,,,0,unknown,positive,,,pass,left,,second,eight,none,,"inside left receiver 5 yard out, incomplete"
55,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 055.mp4,offense,pass,right,,,,0,unknown,positive,,,run,left,,third,eight,none,,tailback b gap
56,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 056.mp4,offense,pass,right,,,,0,unknown,positive,,,pass,right,,fourth,eight,none,,"quick screen right, incomplete"
57,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 057.mp4,defense,pass,right,,,,0,unknown,positive,,,run,left,,first,ten,ten,,tailback b gap
58,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 058.mp4,defense,pass,right,,,,0,unknown,positive,,,run,right,,first,ten,twenty-two,,"tailback b gap, touchdown"
59,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 059.mp4,defense,pass,right,,,,0,unknown,positive,,,run,right,xp,,,,,"inside left receiver jet sweep, no good"
60,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 060.mp4,defense,run,left,,,,0,unknown,neutral,,,,,return,,,,,
61,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 061.mp4,offense,run,right,,,,0,unknown,positive,,,pass,,,first,ten,loss of five,n,tailback b gap
62,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 062.mp4,defense,run,left,,,,0,unknown,positive,,offense,pass,right,,second,fifteen,none,,"inside right receiver 5 yard out, incomplete"
63,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 063.mp4,defense,pass,right,,,,0,unknown,positive,,offense,run,right,,third,fifteen,none,,tailback b gap
64,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 064.mp4,defense,pass,right,,,,0,unknown,positive,,offense,pass,right,,fourth,fifteen,none,,"outside right receiver quick screen, incomplete"
65,/home/scott/mca-gameday-camera/recordings/raw/jenks_silver_20250913/Wide - Clip 065.mp4,offense,pass,right,,,,0,unknown,neutral,,defense,,,kneel,,,,y,
